time,sst
2015-01-02,27.5636143294224
2015-01-03,27.6682189518589
2015-01-04,27.5771179401969
2015-01-05,27.5431896298371
2015-01-06,27.4752843176881
2015-01-07,27.1378215840728
2015-01-08,27.4974334275914
2015-01-09,27.4862828886345
2015-01-10,27.5923808346337
2015-01-11,27.4472634720725
2015-01-12,27.3196037024069
2015-01-14,27.2132698975327
2015-01-15,27.6012410207709
2015-01-16,27.4896507556788
2015-01-17,27.251721370378
2015-01-18,28.0158252308458
2015-01-19,27.5366826838449
2015-01-20,27.6084838043456
2015-01-21,27.4031560442582
2015-01-22,27.4788434020823
2015-01-23,27.7428258456829
2015-01-24,27.6819175853742
2015-01-25,27.6550492878916
2015-01-26,27.5450321561353
2015-01-27,27.4006379960174
2015-01-28,27.1443100380655
2015-01-29,26.9657820554446
2015-01-30,26.9115397133055
2015-01-31,27.1728983079213
2015-02-01,27.1128332106084
2015-02-02,27.2997372999192
2015-02-03,27.1418487227976
2015-02-04,26.9595751281683
2015-02-05,27.3088836403779
2015-02-06,27.3734728259154
2015-02-07,27.4209098356825
2015-02-08,27.3597486125462
2015-02-09,27.7658401499086
2015-02-10,27.8558335157652
2015-02-11,27.6229348566709
2015-02-12,27.7840310375973
2015-02-13,27.5302244738029
2015-02-14,27.1251491819163
2015-02-15,26.8710332005953
2015-02-17,26.7855943053609
2015-02-18,27.2687149567901
2015-02-19,27.5283492504233
2015-02-20,27.4468173198102
2015-02-21,27.068227320484
2015-02-22,26.7936649025626
2015-02-23,27.2005710611498
2015-02-24,26.9962786893536
2015-02-25,27.4529299005773
2015-02-26,27.6605662810711
2015-02-27,27.4987116778093
2015-02-28,27.6819307337656
2015-03-01,27.2622581160659
2015-03-02,27.2911290489402
2015-03-03,26.8235689377327
2015-03-04,27.3692927370025
2015-03-05,27.2531606790431
2015-03-06,27.461780885857
2015-03-07,26.8596069310774
2015-03-08,27.1686122958372
2015-03-09,27.2901492720261
2015-03-10,27.0187455997773
2015-03-11,27.3429834287758
2015-03-12,27.1743688402279
2015-03-13,26.8762303653675
2015-03-14,27.0541978893224
2015-03-15,27.2528116933011
2015-03-16,26.8940801789812
2015-03-17,26.9620631029567
2015-03-18,27.1269323737218
2015-03-19,27.3042714802315
2015-03-20,27.5307632201495
2015-03-21,27.6641144236367
2015-03-23,28.2328719436516
2015-03-24,27.8957080489249
2015-03-25,28.0535505541026
2015-03-26,27.541460091562
2015-03-27,27.9920816224822
2015-03-28,28.2048252371567
2015-03-29,27.8913859923237
2015-03-30,28.5940068427521
2015-03-31,27.6474716969582
2015-04-01,27.7844261337139
2015-04-02,27.7736782430557
2015-04-03,28.1341676368121
2015-04-04,27.8537623812993
2015-04-05,28.1763346984115
2015-04-06,27.9776302036726
2015-04-07,27.9367145860474
2015-04-08,28.3764051324589
2015-04-09,27.6712383839272
2015-04-10,28.3408245742385
2015-04-11,28.0154729767436
2015-04-12,28.2582177985907
2015-04-13,27.8846608372217
2015-04-14,27.5754895073473
2015-04-15,28.5607085144167
2015-04-16,27.5406857569907
2015-04-17,28.40109443535
2015-04-18,27.7602292825835
2015-04-19,28.3214663464105
2015-04-20,28.090998491198
2015-04-21,27.8723211674895
2015-04-22,28.4165252627854
2015-04-23,28.1348792237162
2015-04-24,28.5402618675086
2015-04-25,27.8896813628059
2015-04-26,28.9836747851367
2015-04-27,27.7706838676255
2015-04-28,28.7615361204195
2015-04-29,27.1394248502231
2015-04-30,28.4066778274943
2015-05-01,30.1263092045541
2015-05-02,28.7336440570314
2015-05-03,29.5514292810664
2015-05-04,28.6084438204714
2015-05-05,29.3239534305741
2015-05-06,28.9876879377443
2015-05-07,29.1387806620321
2015-05-08,29.4865755411928
2015-05-09,28.6645074714864
2015-05-10,29.1198799049754
2015-05-11,28.42834057911
2015-05-12,28.8170746696336
2015-05-14,28.1579432085057
2015-05-15,29.3521379034602
2015-05-16,28.3346388334495
2015-05-17,29.1825335747279
2015-05-18,28.3752124333699
2015-05-19,29.3757146479268
2015-05-20,28.3703945699038
2015-05-21,29.1907314919928
2015-05-22,29.6969616149233
2015-05-23,28.3699272683514
2015-05-24,29.1183848105805
2015-05-25,28.2193690382646
2015-05-26,28.1490803671646
2015-05-27,27.7734131275908
2015-05-28,28.9610534459128
2015-05-29,28.7680114800783
2015-05-30,29.395192943278
2015-05-31,29.4398024960604
2015-06-01,29.4432809342896
2015-06-02,29.5412719238612
2015-06-03,28.3276694823179
2015-06-04,29.3612942875432
2015-06-05,27.9928392248786
2015-06-06,29.4405827866569
2015-06-07,27.9145463023318
2015-06-08,29.1117113684161
2015-06-09,29.2842664986886
2015-06-12,28.6147052283561
2015-06-13,29.3716119218565
2015-06-14,27.9788784526146
2015-06-15,28.5593257138541
2015-06-16,27.652093757691
2015-06-17,28.3923905209217
2015-06-18,29.8571778457894
2015-06-19,27.8703122294458
2015-06-20,29.4924097303725
2015-06-21,26.5023925483906
2015-06-22,28.3735713731569
2015-06-23,28.2492181194277
2015-06-24,29.1056174297479
2015-06-25,28.8768989730426
2015-06-26,28.144324868882
2015-06-27,27.8180162235856
2015-06-28,27.3905188335547
2015-06-29,27.6796538177085
2015-06-30,28.082061330392
2015-07-01,28.6930508974173
2015-07-03,27.6154831267085
2015-07-04,27.897222700776
2015-07-05,27.3436430692098
2015-07-06,28.0384056382052
2015-07-07,27.4815903989986
2015-07-08,29.1025686802265
2015-07-09,27.8933079375315
2015-07-10,27.1439648817002
2015-07-11,27.4741353269676
2015-07-12,28.3110862873982
2015-07-13,28.7623482626161
2015-07-14,28.3023711073782
